"Nombre del producto (incluye nombres personalizados)","Tipo de cuenta","Licencias asignadas","Licencias disponibles","Cuenta de facturación","Frecuencia de facturación","Perfil de facturación","Estado del perfil de facturación","Tiene complementos","Siguiente número de factura","Modelo de precios","Tipo de producto","Canal de compra","Fecha de compra","Cantidad comprada","Facturación periódica","Fecha de renovación o expiración","Estado de la suscripción"
"Microsoft Entra ID Free (Microsoft Entra ID Free)","Organizativo","No disponible","No disponible","STAYArta","No disponible","STAYArta","No disponible","No aplica","Fecha no disponible","Pagado","Otro","Comercial directo","23/12/2025","1","No disponible","No disponible","Activo"
"Microsoft 365 Business Basic","Organizativo","5","20","STAYArta","Pagar mensualmente","STAYArta","No disponible","No disponible","24/1/2026","Evaluación","Basado en licencia","Comercial directo","23/12/2025","25","Habilitado","Se renueva el ‎23/1/2026‎ con 1 licencia de pago","Activo"
"‎Teams Premium‎ - ‎Microsoft Teams Premium‎","Organizativo","4","21","STAYArta","Pagar mensualmente","STAYArta","No disponible","No disponible","Fecha no disponible","Evaluación","Basado en licencia","Comercial directo","23/12/2025","25","Deshabilitado","23/1/2026","Activo"
"Power BI Pro","Organizativo","4","21","STAYArta","Pagar mensualmente","STAYArta","No disponible","No disponible","Fecha no disponible","Evaluación","Basado en licencia","Comercial directo","23/12/2025","25","Deshabilitado","23/1/2026","Activo"
"Microsoft Entra ID P1","Organizativo","4","21","STAYArta","Pagar mensualmente","STAYArta","No disponible","No disponible","Fecha no disponible","Evaluación","Basado en licencia","Comercial directo","23/12/2025","25","Deshabilitado","23/1/2026","Activo"
